original,generated,reference
"Очікуєш на щось гідне, а в результаті отримуєш типову хуйню","Очікуєш на щось гідне, а в результаті отримуєш типову картину","Очікуєш на щось гідне, а в результаті отримуєш щось погане"
"मुंबई हुई पानी-पानी, सिस्टम की आंखों में सूखा भेनचोद पानी?","मुंबई हुई पानी-पानी, सिस्टम की आंखों में सूखा पानी?","मुंबई हुई पानी-पानी, सिस्टम की आंखों में सूखा पानी?"
አንተም ክፉ ነበርክ ክፉ አዘዘብህ አንደ ገና ዳቦ እሳት ነደደብህ። የምንልበት ቀን ሩቅ ሰይደለም????,አንተም ክፉ ነበርክ ክፉ አዘዘብህ አንደ ገና ዳቦ እሳት ነደደብህ። የምንልበት ቀን????,በክፋቱ የሚታወቅ የስራውን ሊያገኝ ነው የምንልበት ቀን ሩቅ አይደለም ??
time to wage war and blow shit up .,time to wage war and blow up,Time to wage war and change somethings
इस बेटीचोद का बेटा मरा नहीं अभी तक,इस बुरे इंसान का बेटा मरा नहीं अभी तक,इस का बेटा मरा नहीं अभी तक
सहन की भी एक सीमा होती है. बहुत हुई तुम जेसओ को इज्जत. मादरचोद भेनचोद रंडी की औलाद,सहन की भी एक सीमा होती है. बहुत हुई तुम जेसओ को इज्जत.,सहन की भी एक सीमा होती है. बहुत हुई तुम जेसओ को इज्जत.
"Та ну нахуй, це ж там підписувати бумажку треба, лінь.","Та ну навіщо підписувати бумажку треба, лінь.","Та ну нє, це ж там підписувати бумажку треба, лінь."
አንተ ምን አፍ አለህ ከዚህ በዋላ። ጠባብ ዘረኛ።,አንተ ምን አፍ አለህ ከዚህ በዋላ። ጠባብ ዘረኛ።,አንተ ምን ማለት ትችላህ ከዚህ በዋላ። ወገንተኛ ነህ
Das ist die Folge wenn Schwachmaten wie Laschet und Konsorten Politik machen! 😨 👎,Das ist die Folge wenn Leute wie Laschet und Konsorten Politik machen! 😨 👎,Das ist die Folge wenn Leute wie Laschet und Konsorten Politik machen! 😨 👎
Dale la vuelta a la camiseta y tienes el 6 del 6-1 de la REMONTADA MAMÓN!!!,Dale la vuelta a la camiseta y tienes el 6 del 6-1 de la REMONTADA,Dale la vuelta a la camiseta y tienes el 6 del 6-1 de la REMONTADA!!!
this shit has gone full circle from parody .,This has gone full circle from parody,This has gone full circle from parody
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.","E si no eres periodista decente, deberías cambiar de profesión",E si non eres un periodista decente deberías cambiar de profesión.
Otro españolazo fascista coaccionando al pueblo catalán secesionista.,Otro españolazo fascista coaccionando al pueblo catalán.,Otro españolazo coaccionando al pueblo catalán secesionista.
